Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70165,2,1,1,1,52,8,3,0,0,0,0,-1,1,1
200501BS70166,1,1,3,1,-1,-1,2,4,3,0,0,-1,0,-1
200501BS70167,1,1,1,2,27,6,3,0,0,0,0,-1,1,1
200501BS70168,2,1,1,2,36,7,3,0,0,0,0,-1,9,1
200501BS70169,1,1,3,1,52,8,3,6,9,0,0,-1,0,-1
200501BS70170,1,1,1,1,45,7,2,0,0,0,0,-1,3,1
200501BS70171,1,1,1,1,34,6,3,0,0,0,0,-1,3,1
200501BS70172,1,1,1,1,27,6,3,0,0,0,0,-1,9,1
200501BS70174,2,1,1,1,37,7,3,0,0,0,0,-1,9,1
200501BS70175,2,1,1,2,-1,-1,3,0,0,0,0,-1,9,-1
200501BS70176,1,1,1,2,27,6,3,0,0,0,0,-1,1,1
200501BS70177,1,1,1,1,49,8,3,0,0,0,0,-1,5,-1
200501BS70178,2,1,1,1,36,7,3,0,0,0,0,-1,1,1
200501BS70179,1,1,1,1,30,6,3,0,0,0,0,-1,5,1
200501BS70181,1,1,3,1,53,8,3,5,3,0,0,-1,0,1
200501BS70182,1,1,3,2,20,4,3,4,3,0,0,-1,0,-1
200501BS70183,1,1,1,1,34,6,3,0,0,0,0,-1,5,-1
200501BS70185,1,1,3,2,39,7,3,9,5,0,0,-1,0,1
200501BS70186,1,1,1,1,28,6,3,0,0,0,0,-1,3,1
200501BS70187,1,1,3,2,37,7,3,4,3,0,0,-1,0,-1
200501BS70188,2,1,1,1,28,6,3,0,0,0,0,-1,1,1
200501BS70189,2,1,1,2,25,5,3,0,0,0,0,-1,1,1
200501BS70190,2,1,1,1,-1,-1,3,0,0,0,0,-1,5,1
200501BS70191,1,1,3,1,74,10,3,1,3,0,0,-1,0,1
200501BS70192,1,1,3,1,19,4,3,8,8,0,0,-1,0,2
200501BS70193,2,1,1,1,8,2,3,0,0,0,0,-1,1,1
200501BS70194,2,1,1,1,62,9,3,0,0,0,0,-1,9,1
200501BS70195,1,1,1,1,36,7,3,0,0,0,0,-1,3,1
200501BS70196,1,1,3,2,19,4,2,5,3,0,0,-1,0,1
200501BS70197,1,1,1,1,49,8,3,0,0,0,0,-1,3,1
200501BS70198,1,1,3,1,-1,-1,3,4,1,0,0,-1,0,-1
200501BS70199,3,1,1,1,45,7,3,0,0,0,0,-1,1,1
200501BS70200,2,1,1,2,24,5,2,0,0,0,0,-1,1,1
200501BS70201,1,1,1,1,39,7,3,0,0,0,0,-1,9,1
200501BS70202,1,1,1,2,36,7,3,0,0,0,0,-1,9,1
200501BS70203,1,1,2,1,11,3,3,0,0,2,0,-1,9,1
200501BS70204,1,1,1,1,31,6,3,0,0,0,0,-1,3,1
200501BS70205,1,1,3,2,27,6,3,6,9,0,0,-1,0,-1
200501BS70206,1,1,1,1,41,7,3,0,0,0,0,-1,4,1
200501BS70207,1,1,3,1,35,6,2,5,1,0,0,-1,0,1
200501BS70209,1,1,2,2,21,5,3,0,0,1,0,-1,9,1
200501BS70210,1,1,3,1,48,8,3,1,1,0,0,-1,0,1
200501BS70211,2,1,1,2,30,6,3,0,0,0,0,-1,9,1
200501BS70212,1,1,1,1,21,5,3,0,0,0,0,-1,5,1
200501BS70214,1,1,3,1,34,6,2,6,9,0,0,-1,0,-1
200501BS70215,1,1,1,1,30,6,3,0,0,0,0,-1,3,1
200501BS70216,1,2,2,2,31,6,3,0,0,1,0,-1,9,-1
200501BS70216,2,1,1,2,35,6,3,0,0,0,0,-1,9,1
200501BS70217,1,1,1,1,24,5,3,0,0,0,0,-1,5,1
200501BS70218,2,1,1,1,18,4,3,0,0,0,0,-1,1,1
200501BS70219,1,1,2,2,-1,-1,3,0,0,0,4,-1,11,-1
200501BS70220,1,1,2,1,56,9,3,0,0,0,4,-1,11,1
200501BS70221,1,1,1,1,29,6,3,0,0,0,0,-1,5,1
200501BS70223,1,1,2,1,11,3,3,0,0,1,0,-1,9,1
200501BS70224,1,1,3,1,31,6,3,5,1,0,0,-1,0,-1
200501BS70225,2,1,1,1,28,6,3,0,0,0,0,-1,4,1
200501BS70226,1,1,1,1,36,7,3,0,0,0,0,-1,9,-1
200501BS70227,1,1,1,1,28,6,3,0,0,0,0,-1,1,1
200501BS70228,1,1,1,1,62,9,3,0,0,0,0,-1,8,1
200501BS70229,2,1,1,1,21,5,3,0,0,0,0,-1,1,1
200501BS70230,2,1,1,1,-1,-1,3,0,0,0,0,-1,3,1
200501BS70231,1,1,1,2,24,5,3,0,0,0,0,-1,9,1
200501BS70232,1,1,1,1,48,8,2,0,0,0,0,-1,5,1
200501BS70233,1,1,3,1,49,8,3,5,1,0,0,-1,0,-1
200501BS70234,1,1,1,1,47,8,3,0,0,0,0,-1,9,1
200501BS70235,2,1,1,1,25,5,3,0,0,0,0,-1,1,1
200501BS70236,1,1,1,1,25,5,3,0,0,0,0,-1,5,1
200501BS70237,1,1,1,1,45,7,3,0,0,0,0,-1,5,1
